date,station,river,basin,district,latitude,longitude,elevation,unit,river_discharge,data_quality_flag
2009-11-13,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,6.031334,0.0
2009-11-14,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,7.146982,0.0
2009-11-15,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,7.673,0.0
2009-11-16,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,15.001582,0.0
2009-11-17,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,10.1265335,0.0
2009-11-18,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,7.979468,0.0
2009-11-19,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,28.624197,0.0
2009-11-20,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,239.15404,0.0
2009-11-21,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,31.844597,0.0
2009-11-22,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,9.625,0.0
2009-11-23,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,115.240585,0.0
2009-11-24,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,99.17675,0.0
2009-11-25,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,84.22028,0.0
2009-11-26,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,11.582321,0.0
2009-11-27,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,14.584974,0.0
2009-11-28,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,17.8,0.0
2009-11-29,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,6.957,0.0
2009-11-30,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,7.4043784,0.0
2009-12-01,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,7.8406053,0.0
2009-12-02,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,10.968883,0.0
2009-12-03,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,10.4325,0.0
2009-12-04,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,10.626641,0.0
2009-12-05,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,10.968487,0.0
2009-12-06,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,10.29,0.0
2009-12-07,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,10.671192,0.0
2009-12-08,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,11.314124,0.0
2009-12-09,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,12.097005,0.0
2009-12-10,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,11.043696,0.0
2009-12-11,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,11.985833,0.0
2009-12-12,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,11.990632,0.0
2009-12-13,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,10.71,0.0
2009-12-14,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,12.315393,0.0
2009-12-15,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,11.725925,0.0
2009-12-16,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,10.617270000000001,1.0
2009-12-17,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,9.508615,0.0
2009-12-18,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,9.528707,0.0
2009-12-19,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,9.412838,0.0
2009-12-20,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,11.25,0.0
2009-12-21,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,93.54259,0.0
2009-12-22,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,97.14294,0.0
2009-12-23,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,80.10095,0.0
2009-12-24,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,67.2681,0.0
2009-12-25,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,52.0,0.0
2009-12-26,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,25.112772,0.0
2009-12-27,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,22.66,0.0
2009-12-28,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,16.525375,0.0
2009-12-29,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,19.252619,0.0
2009-12-30,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,22.074224,0.0
2009-12-31,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,37.707466,0.0
2010-01-01,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,3.6551726,0.0
2010-01-02,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,3.4648066,0.0
2010-01-03,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,3.907,0.0
2010-01-04,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,3.8910322,0.0
2010-01-05,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,3.9545684,0.0
2010-01-06,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,4.460029,0.0
2010-01-07,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,4.343503,0.0
2010-01-08,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,4.643183,0.0
2010-01-09,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,4.716544,0.0
2010-01-10,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,4.987,0.0
2010-01-11,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,4.8851485,0.0
2010-01-12,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,4.9655256,0.0
2010-01-13,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,4.9586835,0.0
2010-01-14,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,4.9873676,0.0
2010-01-15,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.0024996,0.0
2010-01-16,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.176237,0.0
2010-01-17,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.479,0.0
2010-01-18,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.180684,0.0
2010-01-19,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.2058544,0.0
2010-01-20,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.2866144,0.0
2010-01-21,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.342376,0.0
2010-01-22,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.4808116,0.0
2010-01-23,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.54097,0.0
2010-01-24,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.816,0.0
2010-01-25,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.9520726,0.0
2010-01-26,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,6.247,0.0
2010-01-27,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,6.006172,0.0
2010-01-28,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,6.1471386,0.0
2010-01-29,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,6.205938,0.0
2010-01-30,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,6.147472,0.0
2010-01-31,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,6.16,0.0
2010-02-01,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.9814568,0.0
2010-02-02,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,6.3046513,0.0
2010-02-03,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,6.0005956,0.0
2010-02-04,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,6.0893416,0.0
2010-02-05,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,6.141881,0.0
2010-02-06,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,6.16929,0.0
2010-02-07,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,6.335,0.0
2010-02-08,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,6.1818986,0.0
2010-02-09,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.968169,0.0
2010-02-10,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,6.1856155,0.0
2010-02-11,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,6.1436043,0.0
2010-02-12,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,6.073,0.0
2010-02-13,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.946778,0.0
2010-02-14,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,6.16,0.0
2010-02-15,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.9394994,0.0
2010-02-16,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.864149,0.0
2010-02-17,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.952298,0.0
2010-02-18,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,6.011413,0.0
2010-02-19,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.94921,0.0
2010-02-20,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.772807,0.0
2010-02-21,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,6.073,0.0
2010-02-22,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.6595774,0.0
2010-02-23,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.7739506,0.0
2010-02-24,PERUMANNU,Valapatnam,West flowing rivers from Tadri to Kanyakumari,KANNUR,11.9823,75.58415833,28.0,m3/sec,5.671404,0.0
