date,station,flood_label_extended,flood_label_primary,flood_event_id,rainfall_mm_scaled,rainfall_3d_cum_mm_scaled,river_discharge_scaled,river_discharge_roc_scaled,slope_scaled,drainage_density_scaled,discharge_sensor_outage,raw_rainfall_mm,raw_rainfall_3d_cum_mm,raw_river_discharge,raw_river_discharge_roc,raw_slope,raw_drainage_density
2003-06-18,MUTHANKERA,0,0,NONE,1.6078035795199013,1.7772182661368585,-0.13457833614233247,0.09172575624406988,0.5166394618767808,-1.5432751177427833,0,24.1,70.09,34.39589,8.64019,14.2,2.45
2003-06-19,MUTHANKERA,0,0,NONE,2.772014804675153,2.218370767309432,-0.05188185021492016,0.13631898066248122,0.5166394618767808,-1.5432751177427833,0,36.92,82.72,47.402058,13.006167999999995,14.2,2.45
2003-06-20,MUTHANKERA,0,0,NONE,2.0155499446483787,2.4590311578936785,0.2023343741110255,0.41184571391494673,0.5166394618767808,-1.5432751177427833,0,28.59,89.61,87.384155,39.98209700000001,14.2,2.45
2003-06-21,MUTHANKERA,0,0,NONE,4.635479261787927,3.623561988384067,1.351896976430873,1.8501166963769649,0.5166394618767808,-1.5432751177427833,0,57.44,122.95,268.1827,180.798545,14.2,2.45
2003-06-22,MUTHANKERA,0,0,NONE,4.31400439930356,4.216655374758597,1.8104369003018375,0.7400682379657336,0.5166394618767808,-1.5432751177427833,0,53.9,139.93,340.3,72.1173,14.2,2.45
2003-06-23,MUTHANKERA,0,0,NONE,3.338682358884885,4.725570017837329,1.4306807979092195,-0.6065579158023677,0.5166394618767808,-1.5432751177427833,0,43.16,154.5,280.5735,-59.72649999999999,14.2,2.45
2003-06-25,MUTHANKERA,0,0,NONE,-0.352829833202555,1.70596323031801,0.5382782775981813,-1.2069940003586908,0.5166394618767808,-1.5432751177427833,0,2.51,68.04999999999998,140.22005,-118.51325,14.2,2.45
2003-06-26,MUTHANKERA,0,0,NONE,-0.5462596233414541,0.21170321446981538,0.1624173671797752,-0.6003007378818176,0.5166394618767808,-1.5432751177427833,0,0.38,25.27,81.10617,-59.11387999999998,14.2,2.45
2003-06-27,MUTHANKERA,0,0,NONE,-0.1412376214543696,-0.40095037781577,0.021744488354774806,-0.2224982141020657,0.5166394618767808,-1.5432751177427833,0,4.84,7.729999999999999,58.98171,-22.124460000000006,14.2,2.45
2003-06-28,MUTHANKERA,0,0,NONE,0.3491477619963605,-0.13094967836493895,0.14518336490275274,0.2017669454121542,0.5166394618767808,-1.5432751177427833,0,10.24,15.46,78.395676,19.413965999999995,14.2,2.45
2003-06-29,MUTHANKERA,0,0,NONE,-0.18573555439712106,0.007718209968799527,0.10922315504355336,-0.05428935441235972,0.5166394618767808,-1.5432751177427833,0,4.35,19.43,72.74,-5.655676,14.2,2.45
2003-06-30,MUTHANKERA,0,0,NONE,0.08488452758124485,0.09469126839474643,0.05212472221612817,-0.08824547850383216,0.5166394618767808,-1.5432751177427833,0,7.33,21.92,63.75979,-8.980209999999992,14.2,2.45
2003-07-01,MUTHANKERA,0,0,NONE,0.9421508275395581,0.3227772408933138,0.0723104536912509,0.03590264299662553,0.5166394618767808,-1.5432751177427833,0,16.77,28.45,66.93452,3.174730000000004,14.2,2.45
2003-07-02,MUTHANKERA,0,0,NONE,0.2401732323406426,0.48659396539841043,0.049962636976209625,-0.03242261038757865,0.5166394618767808,-1.5432751177427833,0,9.04,33.14,63.419746,-3.5147740000000027,14.2,2.45
2003-07-03,MUTHANKERA,0,0,NONE,-0.29925068945516037,0.33884455289168147,0.00742776626975393,-0.06485079091174577,0.5166394618767808,-1.5432751177427833,0,3.1,28.91,56.730034,-6.689712,14.2,2.45
2003-07-04,MUTHANKERA,0,0,NONE,0.8059326654699109,0.28645114420135204,0.15208393700039946,0.23585008831564713,0.5166394618767808,-1.5432751177427833,0,15.27,27.41,79.48097,22.750935999999996,14.2,2.45
2003-07-08,MUTHANKERA,0,0,NONE,-0.036803697200973345,0.23789991881498024,0.3436986491935359,-0.49127072508948394,0.5166394618767808,-1.5432751177427833,0,5.99,26.020000000000003,109.617355,-48.439104999999984,14.2,2.45
2003-07-09,MUTHANKERA,0,0,NONE,0.044019078960350656,-0.10300652706342991,0.2218742026174232,-0.19222037545238374,0.5166394618767808,-1.5432751177427833,0,6.88,16.26,90.4573,-19.160055,14.2,2.45
2003-07-10,MUTHANKERA,0,0,NONE,-0.010468185867508209,-0.002061892986728671,0.09033323520426427,-0.207828848680056,0.5166394618767808,-1.5432751177427833,0,6.28,19.15,69.76907,-20.688230000000004,14.2,2.45
2003-07-11,MUTHANKERA,0,0,NONE,0.10304694919053116,0.05172867326867629,0.3386927024905607,0.4024375073163659,0.5166394618767808,-1.5432751177427833,0,7.53,20.69,108.83004,39.06097,14.2,2.45
2003-07-13,MUTHANKERA,0,0,NONE,0.4799171975832218,0.14149604682477404,0.23403563007502343,-0.3954935258504632,0.5166394618767808,-1.5432751177427833,0,11.68,23.26,92.37,-39.06187,14.2,2.45
2003-07-14,MUTHANKERA,0,0,NONE,1.210046546276531,0.5672798147815178,0.4057531800329404,0.2793210817150866,0.5166394618767808,-1.5432751177427833,0,19.72,35.45,119.37704,27.00703999999999,14.2,2.45
2003-07-15,MUTHANKERA,0,0,NONE,1.5324295298413628,1.2386140248002722,0.6198971162118834,0.34747419172056837,0.5166394618767808,-1.5432751177427833,0,23.27,54.67,153.05673,33.679689999999994,14.2,2.45
2003-07-16,MUTHANKERA,0,0,NONE,1.5188077136343983,1.638201088411851,0.8644844872711207,0.3963780685563753,0.5166394618767808,-1.5432751177427833,0,23.12,66.11,191.52444,38.46771000000001,14.2,2.45
2003-07-17,MUTHANKERA,0,0,NONE,-0.17574622251201355,1.1051854773355665,2.248840877806161,2.227285913511548,0.5166394618767808,-1.5432751177427833,0,4.46,50.85,409.2504,217.72596000000001,14.2,2.45
2003-07-19,MUTHANKERA,0,0,NONE,0.25379504854760737,0.05103009448613858,0.8634131219097961,-0.6718222568625504,0.5166394618767808,-1.5432751177427833,0,9.19,20.67,191.35594,-66.11632,14.2,2.45
2003-07-20,MUTHANKERA,0,0,NONE,-0.4145820666741284,-0.04083301541757242,0.5801152539141937,-0.45160885590491173,0.5166394618767808,-1.5432751177427833,0,1.83,18.04,146.8,-44.55593999999999,14.2,2.45
2003-07-22,MUTHANKERA,0,0,NONE,-0.3946034029039135,-0.520407349629721,0.29003866335082246,-0.15502513887499508,0.5166394618767808,-1.5432751177427833,0,2.05,4.3100000000000005,101.17793,-15.518389999999997,14.2,2.45
2003-07-23,MUTHANKERA,0,0,NONE,0.30737419229500196,-0.24272228357097508,0.43915282032032255,0.2430113304953783,0.5166394618767808,-1.5432751177427833,0,9.78,12.26,124.63,23.452069999999992,14.2,2.45
2003-07-24,MUTHANKERA,0,0,NONE,0.2883036496052514,0.07652822004876546,0.6959672995741482,0.41601951163129164,0.5166394618767808,-1.5432751177427833,0,9.57,21.4,165.02074,40.390739999999994,14.2,2.45
2003-07-25,MUTHANKERA,0,0,NONE,0.15117736645513988,0.28645114420135204,0.8643067741444203,0.273894592117279,0.5166394618767808,-1.5432751177427833,0,8.06,27.41,191.49649,26.475750000000005,14.2,2.45
2003-07-26,MUTHANKERA,0,0,NONE,0.13029058160446058,0.21833971290392382,1.0173929307650749,0.24939189111528579,0.5166394618767808,-1.5432751177427833,0,7.83,25.46,215.57326,24.07677000000001,14.2,2.45
2003-07-27,MUTHANKERA,0,0,NONE,0.1311987026849249,0.15791264821441056,0.8058331787036581,-0.33636982325721587,0.5166394618767808,-1.5432751177427833,0,7.84,23.73,182.3,-33.27325999999999,14.2,2.45
2003-07-28,MUTHANKERA,0,0,NONE,1.3299185288978206,0.6112902780813945,1.288355473127218,0.7785931580460876,0.5166394618767808,-1.5432751177427833,0,21.04,36.71,258.18915,75.88914999999997,14.2,2.45
2003-07-29,MUTHANKERA,0,0,NONE,0.3064660712145376,0.6790524199875541,1.0314238113000438,-0.4092545780726515,0.5166394618767808,-1.5432751177427833,0,9.77,38.650000000000006,217.77998,-40.40916999999999,14.2,2.45
2003-07-30,MUTHANKERA,0,0,NONE,-0.3619110440071981,0.48938828052856126,0.9966904641984692,-0.052318540493718944,0.5166394618767808,-1.5432751177427833,0,2.41,33.22,212.31726,-5.46271999999999,14.2,2.45
2003-08-02,MUTHANKERA,0,0,NONE,-0.4145820666741284,-0.12361460114829287,0.35569672681435394,0.009060818461850596,0.5166394618767808,-1.5432751177427833,0,1.83,15.67,111.504364,0.5467340000000007,14.2,2.45
2003-08-04,MUTHANKERA,0,0,NONE,-0.30197505269655334,-0.40234753538084544,0.09993650922558014,-0.06414454752352095,0.5166394618767808,-1.5432751177427833,0,3.07,7.689999999999999,71.279434,-6.620566000000011,14.2,2.45
2003-08-05,MUTHANKERA,0,0,NONE,-0.24748778786869444,-0.33807828738737467,0.08396309387162146,-0.022182867720887556,0.5166394618767808,-1.5432751177427833,0,3.67,9.53,68.7672,-2.5122339999999923,14.2,2.45
2003-08-06,MUTHANKERA,0,0,NONE,-0.21661167113290775,-0.29546498165257334,0.1480839928343311,0.10647943658190694,0.5166394618767808,-1.5432751177427833,0,4.01,10.75,78.851875,10.084675000000004,14.2,2.45
2003-08-08,MUTHANKERA,0,0,NONE,0.5362207045720094,0.21205250386108432,0.6157025777616408,0.6205369581675497,0.5166394618767808,-1.5432751177427833,0,12.3,25.28,152.39703,60.414379999999994,14.2,2.45
2003-08-10,MUTHANKERA,0,0,NONE,-0.4926804795940595,-0.01638275802875205,0.8732306435703714,-0.8725705049266387,0.5166394618767808,-1.5432751177427833,0,0.97,18.74,192.9,-85.77092999999999,14.2,2.45
